ENVIRONMENT,USERID,STATUS,CHANGEDATE,MEMO,CHANGEBY
BASE,LUCIANOJUNIOR,ACTIVE,2019-03-22-15.18.38.000000,,THIAGOFROES
BASE,LUCIANOJUNIOR,BLOCKED,2019-04-03-17.49.29.000000,,MAXADMIN
BASE,LUCIANOJUNIOR,ACTIVE,2019-04-03-17.51.31.000000,,MAXADMIN
BASE,LUCIANOJUNIOR,INACTIVE,2021-03-09-09.28.02.000000,,MAXADOOG
BASE,LUCIANOJUNIOR,ACTIVE,2023-04-28-16.13.38.000000,,ITEAM
BASE,LUCIANOJUNIOR,INACTIVE,2023-04-29-10.37.52.000000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,LUCIANOJUNIOR,ACTIVE,2023-05-23-09.15.59.000000,,MAXADOOG
BASE,LUCIANOJUNIOR,INACTIVE,2023-05-24-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,LUCIANORIBEIRO,ACTIVE,2018-08-15-18.33.16.000000,,MAXADOOG
BASE,LUCIANORIBEIRO,INACTIVE,2019-04-16-08.50.26.000000,Inativando usuarios sem acesso nos ultimos 6 meses,MAXADOOG
BASE,LUCIANORIBEIRO,ACTIVE,2022-11-07-10.48.30.000000,,ITEAM
BASE,LUCIANORIBEIRO,INACTIVE,2022-12-28-05.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,LUCINEIMOREIRA,ACTIVE,2025-03-12-10.42.31.000000,,ITEAM
BASE,LUCINEIMOREIRA,INACTIVE,2025-05-02-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,LUCINEIMOREIRA,ACTIVE,2026-01-31-06.54.27.840000,,HELPDESK
BASE,LUCINEIMOREIRA,INACTIVE,2026-03-25-09.00.05.419000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,LUCINEIMOREIRA,INACTIVE,2026-03-26-07.30.01.316000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,LUCIOESTRELLA,ACTIVE,2016-10-18-16.32.05.000000,,JULINECAETANO
BASE,LUCIOESTRELLA,BLOCKED,2016-10-19-13.40.15.000000,,MAXADMIN
BASE,LUCIOESTRELLA,ACTIVE,2016-10-20-09.53.23.000000,,HELPDESK
BASE,LUCIOESTRELLA,BLOCKED,2016-10-20-12.18.05.000000,,MAXADMIN
BASE,LUCIOESTRELLA,ACTIVE,2016-10-20-13.35.22.000000,,MAXADOOG
BASE,LUCIOESTRELLA,INACTIVE,2019-01-17-10.15.20.000000,Ticket#027747 — Remover acessos do Maximo,RENANAVNER
BASE,LUCIOPEDROSO,ACTIVE,2014-04-09-17.08.12.000000,,MAXADMIN
BASE,LUCIOPEDROSO,INACTIVE,2016-11-30-17.41.18.000000,Desativando usuarios que não logaram em 2016. Atualização do sistema.,MAXADOOG
BASE,LUIFORMAGGINI,ACTIVE,2018-03-15-07.50.06.000000,,JULINECAETANO
BASE,LUIFORMAGGINI,INACTIVE,2019-01-25-09.45.36.000000,Inativando usuarios que não acessaram em 2018,MAXADOOG
BASE,LUIFORMAGGINI,ACTIVE,2019-04-01-11.38.45.000000,Ticket#075983 — Criação de Login Maximo - Lui Formaggini,THIAGOFROES
BASE,LUIFORMAGGINI,INACTIVE,2020-01-21-13.36.51.000000,Inativando usuarios PLSV,MAXADOOG
BASE,LUISACALDERON,INACTIVE,2019-05-06-10.24.45.000000,,MAXADOOG
BASE,LUISACALDERON,ACTIVE,2019-05-06-10.24.49.000000,,MAXADOOG
BASE,LUISACALDERON,INACTIVE,2020-03-10-17.36.22.000000,,MAXADOOG
BASE,LUISACALDERON,ACTIVE,2020-12-23-08.17.03.000000,,MAXADOOG
BASE,LUISACALDERON,INACTIVE,2021-07-10-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,LUISACALDERON,ACTIVE,2021-07-15-18.05.15.000000,Solicitado para criação de MOC,MAXADOOG
BASE,LUISACALDERON,INACTIVE,2021-09-08-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,LUISACALDERON,ACTIVE,2021-09-16-17.40.22.000000,Solicitação do usuario.,MAXADOOG
BASE,LUISACALDERON,INACTIVE,2021-11-06-05.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,LUISACALDERON,ACTIVE,2022-07-04-17.39.12.000000,,MAXADOOG
BASE,LUISACALDERON,INACTIVE,2022-08-25-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,LUISACALDERON,ACTIVE,2023-07-24-15.50.56.000000,Ticket#0307026,HELPDESK
BASE,LUISACALDERON,INACTIVE,2023-09-13-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,LUISACALDERON,ACTIVE,2025-07-15-16.03.08.000000,,HELPDESK
BASE,LUISACALDERON,INACTIVE,2025-09-06-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,LUISACALDERON,ACTIVE,2026-02-16-12.28.35.666000,,HELPDESK
BASE,LUISACALDERON,INACTIVE,2026-03-25-09.00.05.430000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,LUISACALDERON,INACTIVE,2026-04-08-07.30.00.753000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,LUISANUNES,ACTIVE,2017-07-11-15.14.55.000000,,MAXADMIN
BASE,LUISANUNES,INACTIVE,2018-08-27-11.53.19.000000,,MAXADOOG
BASE,LUISCARVALHO,ACTIVE,2021-10-07-10.22.35.000000,,ITEAM
BASE,LUISCARVALHO,INACTIVE,2021-11-27-05.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,LUISCOSTA,ACTIVE,2019-04-10-15.35.13.000000,,THIAGOFROES
BASE,LUISCOSTA,INACTIVE,2019-04-30-10.55.03.000000,Ticket#079975 — Mudanças e Criação de Usuários no Máximo Base,THIAGOFROES
BASE,LUISESTEVES,ACTIVE,2020-07-30-08.40.37.000000,,JULINECAETANO
BASE,LUISESTEVES,INACTIVE,2021-02-26-11.58.51.000000,Usuarios sem acessar o sistema ha mais de tres meses,MAXADOOG
BASE,LUISHBECKMANN,ACTIVE,2014-09-03-15.43.08.000000,,MAXADMIN
BASE,LUISHBECKMANN,INACTIVE,2015-10-01-16.42.10.000000,IR75584,MAXADMIN
BASE,LUISHBECKMANN,ACTIVE,2016-11-30-15.11.52.000000,,MAXADOOG
BASE,LUISHBECKMANN,INACTIVE,2016-11-30-17.41.18.000000,Desativando usuarios que não logaram em 2016. Atualização do sistema.,MAXADOOG
BASE,LUISPASSOS,ACTIVE,2016-02-04-12.59.08.000000,,MAXADMIN
BASE,LUISPASSOS,INACTIVE,2016-11-30-14.34.28.000000,Desativando usuários que não acessam nos últimos seis meses,MAXADOOG
BASE,LUISPASSOS,ACTIVE,2016-11-30-15.11.52.000000,,MAXADOOG
BASE,LUISPASSOS,INACTIVE,2017-03-20-14.32.47.000000,Saneamento usuários março/17,MAXADOOG
BASE,LUISSILVA,ACTIVE,2023-06-21-18.06.59.000000,,ITEAM
BASE,LUISSILVA,INACTIVE,2026-03-25-09.00.05.445000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,LUIZAMARELI,ACTIVE,2023-11-30-16.25.50.000000,,ITEAM
BASE,LUIZAMARELI,INACTIVE,2024-02-02-05.00.11.000000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,LUIZAMARELI,ACTIVE,2025-01-21-15.30.31.000000,,MAXADOOG
BASE,LUIZAMARELI,INACTIVE,2025-07-12-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,LUIZBRITTO,ACTIVE,2015-12-07-17.35.36.000000,,MAXADMIN
BASE,LUIZBRITTO,INACTIVE,2016-11-30-14.21.16.000000,Desativando usuarios que não logaram em 2016 no sistema,MAXADOOG
BASE,LUIZBRITTO,ACTIVE,2016-11-30-15.11.52.000000,,MAXADOOG
BASE,LUIZBRITTO,INACTIVE,2019-01-25-09.45.36.000000,Inativando usuarios que não acessaram em 2018,MAXADOOG
BASE,LUIZCAETANO,ACTIVE,2016-07-07-11.27.47.000000,,JULINECAETANO
BASE,LUIZCAETANO,INACTIVE,2017-03-20-14.32.47.000000,Saneamento usuários março/17,MAXADOOG
BASE,LUIZCOLIN,ACTIVE,2014-09-16-17.57.11.000000,,MAXADMIN
BASE,LUIZCOLIN,INACTIVE,2016-11-30-14.21.16.000000,Desativando usuarios que não logaram em 2016 no sistema,MAXADOOG
BASE,LUIZCOLIN,ACTIVE,2016-11-30-15.11.52.000000,,MAXADOOG
BASE,LUIZCOLIN,INACTIVE,2016-11-30-17.41.18.000000,Desativando usuarios que não logaram em 2016. Atualização do sistema.,MAXADOOG
BASE,LUIZCOSTA,ACTIVE,2017-07-11-15.17.03.000000,,MAXADMIN
BASE,LUIZCOSTA,INACTIVE,2019-01-25-09.45.36.000000,Inativando usuarios que não acessaram em 2018,MAXADOOG
BASE,LUIZCSANTOS,ACTIVE,2018-04-11-10.23.48.000000,,MAXADOOG
BASE,LUIZCSANTOS,INACTIVE,2019-01-25-09.54.20.000000,Inativando usuarios que não acessaram os últimos 6 meses,MAXADOOG
BASE,LUIZMARTINEZ,ACTIVE,2014-09-16-17.54.43.000000,,MAXADMIN
BASE,LUIZMARTINEZ,BLOCKED,2016-11-04-10.37.54.000000,,MAXADMIN
BASE,LUIZMARTINEZ,ACTIVE,2016-11-09-11.48.21.000000,,MAXADOOG
BASE,LUIZMARTINEZ,INACTIVE,2017-03-20-14.32.47.000000,Saneamento usuários março/17,MAXADOOG
BASE,LUIZPSILVA,ACTIVE,2020-07-30-08.50.33.000000,,JULINECAETANO
BASE,LUIZPSILVA,INACTIVE,2020-09-11-17.14.56.000000,Ticket#0168836 — RESCISÃO CONTRATUAL - 11/09/2020,JULINECAETANO
BASE,LUIZTEIXEIRA,ACTIVE,2024-08-07-14.25.43.000000,,ITEAM
BASE,LUIZTEIXEIRA,INACTIVE,2024-09-27-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,MAGNOGOMES,ACTIVE,2024-01-15-13.18.31.000000,,ITEAM
BASE,MAGNOGOMES,BLOCKED,2024-01-17-15.10.58.000000,,MAXADMIN
BASE,MAGNOGOMES,ACTIVE,2024-01-17-15.14.02.000000,,MAXADMIN
BASE,MAGNOGOMES,BLOCKED,2024-01-17-17.48.58.000000,,MAXADMIN
BASE,MAGNOGOMES,ACTIVE,2024-01-17-17.54.02.000000,,MAXADMIN
BASE,MAGNOGOMES,INACTIVE,2024-04-12-06.00.03.000000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,MAGNOGOMES,ACTIVE,2024-09-04-13.42.34.000000,,HELPDESK
BASE,MAGNOGOMES,INACTIVE,2024-09-05-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,MAICONROCHA,ACTIVE,2026-03-03-15.22.41.847000,,ITEAM
BASE,MAICONROCHA,INACTIVE,2026-03-25-09.00.05.455000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,MAICONROCHA,INACTIVE,2026-06-06-07.30.02.315000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,MANOELCOSME,ACTIVE,2026-04-09-10.54.23.327000,,ITEAM
BASE,MANOELCOSME,INACTIVE,2026-05-30-07.30.03.076000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,MANOELSOUZA,ACTIVE,2024-05-07-10.36.21.000000,,MAXADOOG
BASE,MANOELSOUZA,INACTIVE,2026-03-25-09.00.05.508000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,MARCELLAARAUJO,ACTIVE,2021-08-12-14.40.36.000000,,ITEAM
BASE,MARCELLAARAUJO,BLOCKED,2021-12-13-15.20.22.000000,,MAXADMIN
BASE,MARCELLAARAUJO,ACTIVE,2021-12-13-15.24.33.000000,,MAXADMIN
BASE,MARCELLAARAUJO,INACTIVE,2023-03-17-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,MARCELLAARAUJO,ACTIVE,2023-07-10-09.50.19.000000,Ticket#0304122,HELPDESK
BASE,MARCELLAARAUJO,BLOCKED,2023-07-12-14.25.20.000000,,MAXADMIN
BASE,MARCELLAARAUJO,ACTIVE,2023-07-12-14.29.00.000000,,MAXADMIN
BASE,MARCELLAARAUJO,BLOCKED,2024-02-01-14.20.23.000000,,MAXADMIN
BASE,MARCELLAARAUJO,ACTIVE,2024-02-01-14.52.15.000000,0338928,HELPDESK
BASE,MARCELLAARAUJO,INACTIVE,2024-07-17-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,MARCELLAARAUJO,ACTIVE,2024-08-07-14.23.57.000000,0369522,HELPDESK
BASE,MARCELLAARAUJO,INACTIVE,2024-09-27-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,MARCELLAAYRES,ACTIVE,2023-09-11-13.40.20.000000,,ITEAM
BASE,MARCELLAAYRES,INACTIVE,2023-11-01-05.00.13.000000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,MARCELLAAYRES,ACTIVE,2024-10-10-10.44.20.000000,Ticket#0375383 — Acesso ao Máximo,ITEAM
BASE,MARCELLAAYRES,INACTIVE,2024-12-05-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,MARCELLAAYRES,ACTIVE,2024-12-13-13.44.46.000000,0380432,HELPDESK
BASE,MARCELLAAYRES,INACTIVE,2025-02-06-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,MARCELOAZEVEDO,ACTIVE,2014-08-26-15.00.53.000000,,MAXADMIN
BASE,MARCELOAZEVEDO,BLOCKED,2016-04-04-10.18.38.000000,,MAXADMIN
BASE,MARCELOAZEVEDO,ACTIVE,2016-04-04-14.15.33.000000,,MAXADOOG
BASE,MARCELOAZEVEDO,INACTIVE,2020-03-06-12.01.17.000000,Ticket#089374 - Rescisão Contratual,JULINECAETANO
BASE,MARCELOBRITI,ACTIVE,2023-06-19-16.46.16.000000,,ITEAM
BASE,MARCELOBRITI,INACTIVE,2023-08-09-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,MARCELODEOLIVEIRA,ACTIVE,2025-05-12-10.51.48.000000,,ITEAM
BASE,MARCELODEOLIVEIRA,BLOCKED,2025-07-01-19.18.25.000000,,MAXADMIN
BASE,MARCELODEOLIVEIRA,ACTIVE,2025-07-01-19.26.56.000000,,MAXADMIN
BASE,MARCELODEOLIVEIRA,BLOCKED,2026-02-06-07.06.04.516000,,MAXADMIN
BASE,MARCELODEOLIVEIRA,ACTIVE,2026-02-06-07.12.35.593000,,MAXADMIN
BASE,MARCELODEOLIVEIRA,INACTIVE,2026-03-25-09.00.05.530000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,MARCELODEOLIVEIRA,INACTIVE,2026-04-30-07.30.02.453000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,MARCELODEOLIVEIRA,ACTIVE,2026-05-02-16.15.24.424000,Ticket#2026050229000055,HELPDESK
BASE,MARCELODIAS,ACTIVE,2019-03-07-11.12.47.000000,,MAXADMIN
BASE,MARCELODIAS,INACTIVE,2020-05-13-11.30.42.000000,usuario duplicado,MAXADOOG
BASE,MARCELOJULIANI,ACTIVE,2017-07-11-15.20.18.000000,,MAXADMIN
BASE,MARCELOJULIANI,INACTIVE,2019-01-25-09.45.36.000000,Inativando usuarios que não acessaram em 2018,MAXADOOG
BASE,MARCELOLAMOGLIA,ACTIVE,2017-07-11-15.21.45.000000,,MAXADMIN
BASE,MARCELOLAMOGLIA,INACTIVE,2019-04-11-11.42.35.000000,,MAXADOOG
BASE,MARCELOLEONARDO,ACTIVE,2018-04-26-18.53.46.000000,,MAXADOOG
BASE,MARCELOLEONARDO,INACTIVE,2019-01-25-09.45.36.000000,Inativando usuarios que não acessaram em 2018,MAXADOOG
BASE,MARCELOLEONARDO,ACTIVE,2019-02-18-18.11.31.000000,,MAXADOOG
BASE,MARCELOLEONARDO,BLOCKED,2020-12-08-13.33.12.000000,,MAXADMIN
BASE,MARCELOLEONARDO,ACTIVE,2020-12-08-13.40.49.000000,,MAXADMIN
BASE,MARCELOLEONARDO,BLOCKED,2020-12-08-14.23.04.000000,,MAXADMIN
BASE,MARCELOLEONARDO,ACTIVE,2020-12-08-14.30.50.000000,,MAXADMIN
BASE,MARCELOLEONARDO,BLOCKED,2020-12-08-17.08.01.000000,,MAXADMIN
BASE,MARCELOLEONARDO,ACTIVE,2020-12-08-17.10.51.000000,,MAXADMIN
BASE,MARCELOLEONARDO,BLOCKED,2021-07-20-16.17.48.000000,,MAXADMIN
BASE,MARCELOLEONARDO,ACTIVE,2021-07-20-16.20.21.000000,,MAXADMIN
BASE,MARCELOLEONARDO,BLOCKED,2021-11-22-11.33.57.000000,,MAXADMIN
BASE,MARCELOLEONARDO,ACTIVE,2021-11-22-11.43.33.000000,,MAXADMIN
BASE,MARCELOLEONARDO,BLOCKED,2022-02-04-16.10.28.000000,,MAXADMIN
BASE,MARCELOLEONARDO,ACTIVE,2022-02-04-16.15.06.000000,,MAXADMIN
BASE,MARCELOLEONARDO,BLOCKED,2022-02-07-10.08.18.000000,,MAXADMIN
BASE,MARCELOLEONARDO,ACTIVE,2022-02-07-10.26.43.000000,,MAXADMIN
BASE,MARCELOLEONARDO,BLOCKED,2022-03-18-18.42.25.000000,,MAXADMIN
BASE,MARCELOLEONARDO,ACTIVE,2022-03-18-18.46.30.000000,,MAXADMIN
BASE,MARCELOLEONARDO,INACTIVE,2022-05-10-06.00.02.000000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,MARCELOLEONARDO,ACTIVE,2022-05-24-08.54.00.000000,,MAXADOOG
BASE,MARCELOLEONARDO,INACTIVE,2022-05-25-06.00.02.000000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,MARCELOLEONARDO,ACTIVE,2025-04-29-11.52.49.000000,,MAXADOOG
BASE,MARCELOLEONARDO,INACTIVE,2025-06-19-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,MARCELOLOPES,ACTIVE,2026-06-10-12.49.55.524000,,ITEAM
BASE,MARCELOMATOS,ACTIVE,2017-07-27-09.41.24.000000,,MAXADOOG
BASE,MARCELOMATOS,INACTIVE,2019-01-25-09.54.20.000000,Inativando usuarios que não acessaram os últimos 6 meses,MAXADOOG
BASE,MARCELOMATOS,ACTIVE,2021-02-18-16.29.44.000000,,ITEAM
BASE,MARCELOMATOS,INACTIVE,2021-03-01-19.52.37.000000,Usuarios ODN1 com acesso normalizado na sonda,MAXADOOG
BASE,MARCELOMOTTA,ACTIVE,2016-07-20-14.22.38.000000,,ENIOSANTOS
BASE,MARCELOMOTTA,INACTIVE,2016-11-30-14.21.16.000000,Desativando usuarios que não logaram em 2016 no sistema,MAXADOOG
BASE,MARCELOMOTTA,ACTIVE,2016-11-30-15.11.52.000000,,MAXADOOG
BASE,MARCELOMOTTA,INACTIVE,2016-11-30-17.41.18.000000,Desativando usuarios que não logaram em 2016. Atualização do sistema.,MAXADOOG
BASE,MARCELOPEDRO,ACTIVE,2017-06-21-11.42.08.000000,,PAULOPARREIRA
BASE,MARCELOPEDRO,BLOCKED,2018-10-10-14.08.19.000000,,MAXADMIN
BASE,MARCELOPEDRO,ACTIVE,2018-10-10-14.17.31.000000,,MAXADMIN
BASE,MARCELOPEDRO,BLOCKED,2019-10-15-15.40.55.000000,,MAXADMIN
BASE,MARCELOPEDRO,ACTIVE,2019-10-15-15.50.30.000000,,MAXADMIN
BASE,MARCELOPEDRO,BLOCKED,2019-10-16-17.52.15.000000,,MAXADMIN
BASE,MARCELOPEDRO,ACTIVE,2019-10-16-17.52.29.000000,,MAXADMIN
BASE,MARCELOPEDRO,INACTIVE,2020-01-21-13.36.51.000000,Inativando usuarios PLSV,MAXADOOG
BASE,MARCELORDIAS,ACTIVE,2019-08-21-09.11.39.000000,,JULINECAETANO
BASE,MARCELORDIAS,BLOCKED,2019-10-07-11.04.55.000000,,MAXADMIN
BASE,MARCELORDIAS,ACTIVE,2019-10-07-11.06.54.000000,,MAXADOOG
BASE,MARCELORDIAS,BLOCKED,2020-03-05-11.18.26.000000,FORGOTPSWD,MAXREG
BASE,MARCELORDIAS,ACTIVE,2020-03-05-11.22.02.000000,,MAXADMIN
BASE,MARCELORDIAS,INACTIVE,2022-02-23-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,MARCELORDIAS,ACTIVE,2022-04-20-15.38.56.000000,,MAXADOOG
BASE,MARCELORDIAS,INACTIVE,2022-06-15-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,MARCELORODRIGUES,ACTIVE,2014-09-03-15.40.44.000000,,MAXADMIN
BASE,MARCELORODRIGUES,INACTIVE,2017-03-20-14.32.47.000000,Saneamento usuários março/17,MAXADOOG
BASE,MARCELORODRIGUES,ACTIVE,2017-08-23-20.31.13.000000,SR135349,MAXADOOG
BASE,MARCELORODRIGUES,INACTIVE,2020-01-21-13.36.51.000000,Inativando usuarios PLSV,MAXADOOG
BASE,MARCELOSENA,ACTIVE,2023-05-23-18.22.05.000000,,ITEAM
BASE,MARCELOSENA,INACTIVE,2025-06-19-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,MARCELOSENA,ACTIVE,2025-08-13-11.31.07.000000,,GREGORYMATOS
BASE,MARCELOSENA,BLOCKED,2026-03-11-09.45.17.482000,,MAXADMIN
BASE,MARCELOSENA,ACTIVE,2026-03-11-09.48.55.608000,,MAXADMIN
BASE,MARCELOSENA,INACTIVE,2026-03-25-09.00.05.544000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,MARCELPITTA,ACTIVE,2020-07-30-08.49.00.000000,,JULINECAETANO
BASE,MARCELPITTA,INACTIVE,2021-09-02-11.36.02.000000,Ticket#0211657 — ENC: Emissão de Rescisão Contratu,ITEAM
BASE,MARCELPITTA,ACTIVE,2023-02-16-12.15.52.000000,,ITEAM
BASE,MARCELPITTA,BLOCKED,2025-02-25-06.11.52.000000,,MAXADMIN
BASE,MARCELPITTA,ACTIVE,2025-02-25-06.16.22.000000,,MAXADMIN
BASE,MARCELPITTA,INACTIVE,2025-10-08-06.00.02.000000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,MARCELSCHOEHUYS,ACTIVE,2014-04-09-17.27.56.000000,,MAXADMIN
BASE,MARCELSCHOEHUYS,INACTIVE,2017-03-20-14.32.47.000000,Saneamento usuários março/17,MAXADOOG
BASE,MARCIACOSTA,ACTIVE,2021-06-09-16.31.34.000000,,ITEAM
BASE,MARCIACOSTA,INACTIVE,2021-08-04-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,MARCIACRUZ,ACTIVE,2023-12-06-14.55.59.000000,,ITEAM
BASE,MARCIACRUZ,BLOCKED,2024-06-05-09.51.58.000000,,MAXADMIN
BASE,MARCIACRUZ,ACTIVE,2024-06-05-09.59.27.000000,,MAXADMIN
BASE,MARCIACRUZ,BLOCKED,2024-06-06-07.46.20.000000,,MAXADMIN
BASE,MARCIACRUZ,ACTIVE,2024-06-06-07.49.27.000000,,MAXADMIN
BASE,MARCIACRUZ,BLOCKED,2026-03-17-18.09.50.469000,,MAXADMIN
BASE,MARCIACRUZ,ACTIVE,2026-03-17-18.16.23.222000,,MAXADMIN
BASE,MARCIACRUZ,INACTIVE,2026-03-25-09.00.05.557000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,MARCIAFRAGOSO,ACTIVE,2018-05-07-11.56.19.000000,,MAXADOOG
BASE,MARCIAFRAGOSO,INACTIVE,2019-01-25-09.54.20.000000,Inativando usuarios que não acessaram os últimos 6 meses,MAXADOOG
BASE,MARCIAGROTE,ACTIVE,2015-08-27-10.59.32.000000,,MAXADMIN
BASE,MARCIAGROTE,INACTIVE,2016-11-30-14.21.16.000000,Desativando usuarios que não logaram em 2016 no sistema,MAXADOOG
BASE,MARCIAGROTE,ACTIVE,2016-11-30-15.11.52.000000,,MAXADOOG
BASE,MARCIAGROTE,INACTIVE,2016-11-30-17.41.18.000000,Desativando usuarios que não logaram em 2016. Atualização do sistema.,MAXADOOG
BASE,MARCIOMAGALHAES,ACTIVE,2017-07-11-15.23.19.000000,,MAXADMIN
BASE,MARCIOMAGALHAES,INACTIVE,2019-01-25-09.54.20.000000,Inativando usuarios que não acessaram os últimos 6 meses,MAXADOOG
BASE,MARCIOMAGALHAES,ACTIVE,2019-07-01-12.51.10.000000,Ticket#086072 — Acesso ao Maximo,THIAGOFROES
BASE,MARCIOMAGALHAES,INACTIVE,2021-07-30-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,MARCIOMAGALHAES,ACTIVE,2021-08-24-11.58.51.000000,Liberação de Acesso - Ticket#0210416,ITEAM
BASE,MARCIOMAGALHAES,INACTIVE,2021-10-14-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,MARCIOMAGALHAES,ACTIVE,2022-02-07-10.26.22.000000,0228240 — RE: Loggin Maximo Travado Marcio Magalhaes,ITEAM
BASE,MARCIOMAGALHAES,INACTIVE,2022-04-01-06.00.02.000000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,MARCIOMAGALHAES,ACTIVE,2022-05-19-16.16.35.000000,Ticket#0239428 — Falha no loggin do Maximo,ITEAM
BASE,MARCIOMAGALHAES,INACTIVE,2022-07-17-06.00.02.000000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,MARCIOMAGALHAES,ACTIVE,2022-12-22-10.14.03.000000,Ticket#0269119,HELPDESK
BASE,MARCIOMAGALHAES,INACTIVE,2023-02-11-05.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,MARCIOMAGALHAES,ACTIVE,2023-03-29-17.55.38.000000,,MAXADOOG
BASE,MARCIOMAGALHAES,INACTIVE,2023-07-14-06.00.03.000000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,MARCIOMAGALHAES,ACTIVE,2023-07-17-16.35.30.000000,,HELPDESK
BASE,MARCIOMAGALHAES,INACTIVE,2023-11-04-05.00.10.000000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,MARCIOMAGALHAES,ACTIVE,2023-11-22-17.25.18.000000,,MAXADOOG
BASE,MARCIOMAGALHAES,INACTIVE,2024-01-14-12.29.45.000000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,MARCIOMAGALHAES,ACTIVE,2024-04-18-17.04.35.000000,,MAXADOOG
BASE,MARCIOMAGALHAES,BLOCKED,2024-04-18-17.23.04.000000,,MAXADMIN
BASE,MARCIOMAGALHAES,ACTIVE,2024-04-18-17.28.15.000000,,MAXADMIN
BASE,MARCIOMAGALHAES,INACTIVE,2024-06-08-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,MARCIOMAGALHAES,ACTIVE,2025-05-21-17.27.35.000000,,MAXADOOG
BASE,MARCIOMAGALHAES,INACTIVE,2025-05-22-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,MARCIOMAGALHAES,ACTIVE,2025-05-22-18.27.14.000000,2025052229001081,HELPDESK
BASE,MARCIOMAGALHAES,INACTIVE,2025-07-12-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,MARCIOMAGALHAES,ACTIVE,2025-09-03-16.22.26.000000,,MAXADOOG
BASE,MARCIOMAGALHAES,INACTIVE,2025-10-24-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,MARCIOMAGALHAES,ACTIVE,2026-04-06-15.55.32.276000,,MAXADOOG
BASE,MARCIOMAGALHAES,BLOCKED,2026-04-06-16.22.33.937000,,MAXADMIN
